Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa de Lugo  45-47 ,15810 ,Arzúa ,A Coruña ,Galicia ,881 99 60 03  881 99 60 04 ,881 99 60 07 ,mixto1.arzua@xustiza.gal ,RODRIGUEZ CARLIN  MARIA EUGENIA
Juzgado de Instrucción nº 3 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 33  981 54 04 31 ,981 54 04 34 ,instrucion3.santiago@xustiza.gal ,CANGADO CIVEIRA  ELVIRA
Juzgado de lo Social nº 1 ,Rúa Berlín  s/n ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 38  981 54 04 39 ,981 54 04 40 ,social1.santiago@xustiza.gal ,MENDEZ DOMINGUEZ  PAULA
Juzgado de lo Social nº 2 ,Rúa Berlín  s/n ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 43  981 54 04 44 ,981 54 04 46 ,social2.santiago@xustiza.gal ,NORES DIAZ  MARIA CAROLINA
Juzgado de lo Social nº 3 ,Rúa Berlín  s/n ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,881 99 71 24  881 99 71 25 ,881 99 71 26 ,social3.santiago@xustiza.gal ,IGLESIAS BARRAL  SANDRA MARIA
Juzgado de lo Social nº 4 ,Rúa Berlín  s/n ,15007 ,Santiago de Compostela ,A Coruña ,Galicia ,881 99 71 45 ,881 99 62 34 ,social4.santiago@xustiza.gal ,SOUTO GONZALEZ  ANA MARIA
Juzgado de lo Contencioso-Administrativo nº 1 ,Rúa Berlín  s/n ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 61  981 54 04 62 ,981 54 04 64 ,contencioso1.santiago@xustiza.gal ,VEIRAS SUAREZ  CARMEN
Juzgado de lo Contencioso-Administrativo nº 2 ,Rúa Berlín  s/n ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 03 46  981 54 03 45 ,981 54 03 44 ,contencioso2.santiago@xustiza.gal ,ALVARIÑO ALEJANDRO  JOSE VICENTE
Juzgado de lo Penal nº 1 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 49  981 54 04 50 ,981 54 04 52 ,penal1.santiago@xustiza.gal ,ALAEZ LEGEREN  LUIS
Juzgado de lo Penal nº 2 ,Rúa Viena  s/n. Pol. Fontiñas ,15707 ,Santiago de Compostela ,A Coruña ,Galicia ,981 54 04 55  981 54 04 56 ,981 54 04 58 ,penal2.santiago@xustiza.gal ,FERNANDEZ CURRAS  MARIA ELENA
Tribunal Superior de Justicia Adscripción Territorial ,C/ San Agustín  1 ,02001 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 65 09  967 59 67 00 ,967 59 65 45 ,tsj.secregob.albacete@justicia.es ,FRESNEDA DOMINGUEZ  MARIA JOSE
Tribunal Superior de Justicia Presidencia ,C/ San Agustín  1 ,02001 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 65 09  967 59 67 00 ,967 59 65 45 ,tsj.presidencia.albacete@justicia.es ,ROUCO RODRIGUEZ  VICENTE MANUEL
Tribunal Superior de Justicia. Sala de lo Civil y Penal ,C/ San Agustín  1 ,02001 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 65 11  967 59 65 10 ,967 59 65 10 ,tsj.civil-penal.albacete@justicia.es ,MARTINEZ-ESCRIBANO GOMEZ  JESUS
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo ,C/ San Agustín  1 ,02001 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 65 84  967 59 65 80 ,967 59 65 90 ,tribunalsuperior.contencioso1.albacete@justicia.es ,BARCIA GONZALEZ  FERNANDO
Tribunal Superior de Justicia. Sala de lo Social ,C/ San Agustín  1 ,02001 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 65 62  967 59 65 65 ,967 59 65 69 ,tsj.social.albacete@justicia.es ,CONTENTO ASENSIO  MONTSERRAT
Audiencia Provincial Civil nº 1 ,C/ San Agustín  1 ,02001 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 65 57  967 59 65 56 ,967 59 65 01 ,audiencia.s1.albacete@justicia.es ,MATEOS RODRIGUEZ  MANUEL
Audiencia Provincial Penal nº 2 ,C/ San Agustín  1 ,02001 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 65 33  967 59 65 37 ,967 59 65 88 ,audiencia.s2.albacete@justicia.es ,MARTINEZ PALACIOS  MARIA OTILIA
Audiencia Provincial Presidencia ,C/ San Agustín  1 ,02001 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 65 30  967 59 65 99 ,967 59 65 30 ,audiencia.s1.presidencia.albacete@justicia.es ,MONSALVE ARGANDOÑA  CESAREO MIGUEL
Juzgado de Primera Instancia nº 1 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 31  967 59 66 30 ,967 59 66 27 ,instancia1.albacete@justicia.es ,LEAL SCASSO  OLGA MARIA
Juzgado de Primera Instancia nº 2 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 25 87 ,967 19 26 34 ,instancia2.albacete@justicia.es ,CABAÑERO LUJAN  TOMAS
Juzgado de Primera Instancia nº 4 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 10  967 59 66 15 ,967 59 66 13 ,instancia4.albacete@justicia.es ,LOPEZ FERNANDEZ  PEDRO BENITO
Juzgado de Primera Instancia nº 5 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 26 31 ,967 19 26 33 ,instancia5.albacete@justicia.es ,ABELLAN TARRAGA  MARIA INMACULADA
Juzgado de Primera Instancia nº 6 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 25 57 ,967 19 25 69 ,instancia6.albacete@justicia.es ,ESCOTO ROMANI  MARIA DOLORES
Juzgado de Primera Instancia nº 7 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 22 94 97 ,967 55 12 47 ,instancia7.albacete@justicia.es ,COTILLAS MORENO  FRANCISCA
Juzgado de Primera Instancia nº 8 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 67 46 ,967 59 67 84 ,instancia8.albacete@justicia.es ,MONTEALEGRE GALERA  JOSE VICENTE
Juzgado de Primera Instancia nº 3 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 20 10 92 ,967 20 11 29 ,instancia3.albacete@justicia.es ,SAUGAR HERNANDEZ  MARIA DE LAS NIEVES
Juzgado de Instrucción nº 1 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 67  967 59 66 66 ,967 59 66 71 ,instruccion1.albacete@justicia.es ,FERNANDEZ BUENDIA  EVA MARIA
Juzgado de Instrucción nº 2 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 60  967 59 66 57 ,967 59 66 58 ,instruccion2.albacete@justicia.es ,DIAZ ZOMEÑO  MARIA CARMEN
Juzgado de Instrucción nº 3 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 51  967 59 66 55 ,967 59 66 50 ,instruccion3.albacete@justicia.es ,ABAD ORTIZ  PABLO PEDRO
Juzgado de lo Social nº 1 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 18 12  967 19 18 13 ,967 52 28 50 ,social1.albacete@justicia.es ,FERNANDEZ BUENDIA  JOSE ANTONIO
Juzgado de lo Social nº 2 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 18 16  967 19 18 17 ,967 21 73 85 ,social2.albacete@justicia.es ,HONRUBIA GOMEZ  ETHEL
Juzgado de lo Social nº 3 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 18 21  967 19 18 22 ,967 24 05 44 ,social3.albacete@justicia.es ,CARDENAS RUIZ-VALDEPEÑAS  ELENA
Juzgado de lo Contencioso-Administrativo nº 1 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 18 26  967 19 18 27 ,967 24 72 56 ,contencioso1.albacete@justicia.es ,DONATE VALERA  INMACULADA
Juzgado de lo Contencioso-Administrativo nº 2 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 25 74  967 19 25 77 ,967 19 25 71 ,contencioso2.albacete@justicia.es ,RODRIGUEZ GONZALEZ  ANTONIO
Juzgado de lo Mercantil nº 1 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 55 12 44 ,967 22 70 77 ,mercantil1.albacete@justicia.es ,MARTINEZ CUENCA  EVA
Juzgado de Violencia sobre la Mujer nº 1 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 03  967 59 66 07 ,967 59 66 05 ,violenciamujer.albacete@justicia.es ,GARCIA DOMINGUEZ  CIRA
Juzgado de lo Penal nº 1 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 43  967 59 66 45 ,967 59 66 47 ,penal1.albacete@justicia.es ,SANCHEZ CHACON  MARIA ROSARIO
Juzgado de lo Penal nº 2 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 38  967 59 66 35 ,967 59 65 92 ,penal2.albacete@justicia.es ,MONTERO GARCIA-ANDRADE  JUAN
Juzgado de lo Penal nº 3 ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 59 66 19  967 59 66 20 ,967 59 66 22 ,penal3.albacete@justicia.es ,PARDO SANCHEZ  MARIA DE LOS ANGELES
Juzgado de Menores Único ,Avda. de la Mancha  1 ,02006 ,Albacete ,Albacete ,Castilla la Mancha ,967 19 19 05  967 19 19 06 ,967 52 05 51 ,menores1.albacete@justicia.es ,SANJUAN SECCHIUTTI  SILVIA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Padre Pareja  1 ,02300 ,Alcaraz ,Albacete ,Castilla la Mancha ,967 38 00 14  967 38 00 95 ,967 38 10 05 ,mixto1.alcaraz@justicia.es ,VEGA PEDRAZA  MARIA LAURA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Aniceto Coloma  22 ,02640 ,Almansa ,Albacete ,Castilla la Mancha ,967 34 48 11  967 34 40 61 ,967 31 12 93 ,mixto1.almansa@justicia.es ,CASARES RUIZ  IRENE
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Aniceto Coloma  22 ,02640 ,Almansa ,Albacete ,Castilla la Mancha ,967 34 41 00  967 34 44 00 ,967 34 34 57 ,mixto1.almansa@justicia.es ,MARTIN MANZANO  CARLOS GUSTAVO
Juzgado de Primera Instancia e Instrucción Único ,C/ La Tercia  22 ,02200 ,Casas-Ibáñez ,Albacete ,Castilla la Mancha ,967 46 00 06  967 46 01 85 ,967 46 09 74 ,mixto1.casasibanez@justicia.es ,MARTI TORMO  MARINA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Alcalde Víctor Serena Guirao  6 ,02400 ,Hellín ,Albacete ,Castilla la Mancha ,967 30 01 79  967 30 00 76 ,967 30 59 99 ,mixto1.hellin@justicia.es ,GARRIDO LOPEZ  ELOY
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Alcalde Víctor Serena Guirao  6 ,02400 ,Hellín ,Albacete ,Castilla la Mancha ,967 30 11 26  967 30 07 78 ,967 30 58 49 ,mixto2.hellin@justicia.es ,MONTIEL LOPEZ  MARIA DE LA PAZ
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Alcalde Víctor Serena Guirao  6 ,02400 ,Hellín ,Albacete ,Castilla la Mancha ,967 30 59 01  967 30 54 52 ,967 30 47 50 ,mixto3.hellin@justicia.es ,MARTINEZ VALERO  LUIS
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. Reina Sofía  s/n ,02630 ,Roda (La) ,Albacete ,Castilla la Mancha ,967 44 55 30  967 44 55 29 ,967 44 35 77 ,mixto1.laroda@justicia.es ,BARBERO MORENO  MAVERICK
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Madres  3 ,02600 ,Villarrobledo ,Albacete ,Castilla la Mancha ,967 14 01 32  967 14 01 25 ,967 14 50 11 ,mixto1.villarrobledo@justicia.es , 
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Madres  3 ,02600 ,Villarrobledo ,Albacete ,Castilla la Mancha ,967 14 50 11  967 14 06 72 ,967 14 07 49 ,mixto2.villarrobledo@justicia.es ,TORRES PIQUERAS  VERONICA
Juzgado de Primera Instancia e Instrucción nº 1 ,Pl. Mare de Deu  2 ,03801 ,Alcoy/Alcoi ,Alicante ,Comunidad Valenciana ,96 553 39 19  96 533 24 88 ,96 553 39 22 ,acmi01_ali@gva.es ,ESCUTIA ROSA  ALEJANDRA
Juzgado de Primera Instancia e Instrucción nº 2 ,Pl. Mare de Deu  2 ,03801 ,Alcoy/Alcoi ,Alicante ,Comunidad Valenciana ,96 553 39 23  96 533 00 54 ,96 553 39 26 ,acmi02_ali@gva.es ,GOMEZ TEJADA  CARLOS
Juzgado de Primera Instancia e Instrucción nº 3 ,Pl. Mare de Deu  2 ,03801 ,Alcoy/Alcoi ,Alicante ,Comunidad Valenciana ,96 553 39 27  96 553 39 16 ,96 553 39 30 ,acmi03_ali@gva.es ,CASTELLA FERNANDEZ  DAVID
Juzgado de Primera Instancia e Instrucción nº 4 ,Pl. Mare de Deu  2 ,03801 ,Alcoy/Alcoi ,Alicante ,Comunidad Valenciana ,96 553 39 31  96 553 39 16 ,96 553 39 34 ,acmi04_ali@gva.es ,SANCHIS GALIANA  CARLOS
Juzgado Decano ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 593 57 00 ,96 593 58 24 ,aldebi_ali@gva.es ,MARTINEZ DIAZ  CESAR
Audiencia Provincial Penal nº 1 ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 07  96 516 98 08 ,96 516 98 12 ,alap01_ali@gva.es ,DURA CARRILLO  JOSE ANTONIO
Audiencia Provincial Penal nº 2 ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 18  96 516 98 19 ,96 516 98 22 ,alap02_ali@gva.es ,COSTA HERNANDEZ  MARIA CRISTINA
Audiencia Provincial Penal nº 3 ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 27  96 516 98 28 ,96 516 98 31 ,alap03_ali@gva.es ,GALLEGO ORTELLS  SONIA MARIA
Audiencia Provincial Civil nº 4 ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 36  96 516 98 37 ,96 516 98 40 ,alap04_ali@gva.es ,FLOREZ MENENDEZ  MANUEL BENIGNO
Audiencia Provincial Civil nº 5 ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 45  96 516 98 46 ,96 516 98 49 ,alap05_ali@gva.es ,AGANZO RAMON  MARIA ENCARNACION
Audiencia Provincial Civil nº 6 ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 54  96 516 98 55 ,96 516 98 58 ,alap06_ali@gva.es ,CATURLA JUAN  ENCARNACION
Audiencia Provincial Civil nº 8 ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 63  96 516 98 64 ,96 516 98 67 ,alap08_ali@gva.es ,GARCIA-CHAMON CERVERA  ENRIQUE
Audiencia Provincial Penal nº 10 ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 72  96 516 98 73 ,96 516 98 76 ,alap10_ali@gva.es ,ESQUIVA BARTOLOME  MARIA MARGARITA
Audiencia Provincial Presidencia ,Pza. del Ayuntamiento  s/n ,03002 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 516 98 13  96 516 98 06 ,96 516 98 11 ,alsego_ali@gva.es ,CERON HERNANDEZ  JUAN CARLOS
Juzgado de Primera Instancia nº 1 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 25 55  96 690 25 54 ,96 593 60 81 ,alpi01_ali@gva.es ,FALCO SELLER  CARLA
Juzgado de Primera Instancia nº 2 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 41 28  96 569 41 27 ,96 593 60 33 ,alpi02_ali@gva.es ,LORITE CHICHARRO  JUANA MARIA
Juzgado de Primera Instancia nº 3 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 81  96 690 25 61 ,96 690 25 87 ,alpi03_ali@gva.es ,RODRIGUEZ ANDREU  MARTA
Juzgado de Primera Instancia nº 4 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 10  96 690 26 11 ,96 690 25 83 ,alpi04_ali@gva.es ,ESCOBAR BOSCH  BEATRIZ
Juzgado de Primera Instancia nº 5 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 25 13  96 690 25 04 ,96 690 25 15 ,alpi05_ali@gva.es ,APARICIO BOLUDA  JOSE MARIA
Juzgado de Primera Instancia nº 6 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 28  96 690 26 29 ,96 690 27 25 ,alpi06_ali@gva.es ,SANCHEZ RUIZ  JESUS
Juzgado de Primera Instancia nº 7 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 43 20  96 569 43 21 ,96 593 60 29 ,alpi07_ali@gva.es ,GIL PALENCIA  DANIEL
Juzgado de Primera Instancia nº 8 ,Av. Catedràtic Soler  43 ,03008 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 593 76 31  96 593 76 32 ,96 593 76 41 ,alpi08_ali@gva.es ,JUAN GARCIA  MARIA JOSE
Juzgado de Primera Instancia nº 9 ,C/ Los Docientos  Cant. C/ Catedráitoc Soler ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 593 76 52  96 593 76 53 ,96 593 76 62 ,alpi09_ali@gva.es ,LORITE CHICHARRO  MARIA FERNANDA
Juzgado de Primera Instancia nº 10 ,C/ Els Dos-Cents  8 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 593 76 18  96 593 76 19 ,96 593 76 28 ,alpi10_ali@gva.es ,PEINADO MARTINEZ  SANDRA
Juzgado de Primera Instancia nº 11 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 50  96 690 26 51 ,96 593 61 72 ,alpi11_ali@gva.es ,CANTO LLORENS  DIANA MARIA
Juzgado de Primera Instancia nº 12 ,C/ Los Docientos  Cant. C/ Catedráitoc Soler ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 593 76 65  96 593 76 66 ,96 593 76 75 ,alpi12_ali@gva.es ,GUASP GOMEZ  ELISA
Juzgado de Primera Instancia nº 13 ,Av. Catedràtic Soler  43 ,03008 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 593 76 05  96 593 76 06 ,96 593 76 15 ,alpi13_ali@gva.es ,IZQUIERDO MARTINEZ  FRANCISCO JAVIER
Juzgado de Primera Instancia nº 14 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 593 89 67  96 593 89 68 ,96 593 89 77 ,alpi14_ali@gva.es ,CASILLAS AGUERO  VICTOR
Juzgado de Primera Instancia nº 15 ,C/ Els Dos-Cents  8 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 593 76 90 ,96 593 76 91 ,alpi15_ali@gva.es ,PEREZ NEVOT  JOSE ANTONIO
Juzgado de Instrucción nº 1 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 43 05  96 569 43 42 ,96 511 55 75 ,alin01_ali@gva.es ,HOYOS GUIJARRO  SANTIAGO LUIS
Juzgado de Instrucción nº 2 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 43 53  96 569 43 56 ,96 593 61 89 ,alin02_ali@gva.es ,ROMERO FERNANDEZ  PATRICIA
Juzgado de Instrucción nº 3 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 40 78  96 569 40 80 ,96 593 61 85 ,alin03_ali@gva.es ,GUTIERREZ GONZALEZ  BELEN
Juzgado de Instrucción nº 4 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 40 73  96 569 40 72 ,96 593 61 86 ,alin04_ali@gva.es ,TORRE GUZMAN  FRANCISCO JAVIER DE LA
Juzgado de Instrucción nº 5 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 41 54  96 569 41 51 ,96 593 60 30 ,alin05_ali@gva.es ,RUBIO LUCAS  MARIA AMPARO
Juzgado de Instrucción nº 6 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 41 44  96 569 41 48 ,96 593 60 31 ,alin06_ali@gva.es ,BRU AZUAR  FRANCISCA
Juzgado de Instrucción nº 7 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 40 12  96 569 40 11 ,96 593 61 91 ,alin07_ali@gva.es ,AVENDAÑO MUÑOZ  ANA
Juzgado de Instrucción nº 8 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 40 06  96 569 40 04 ,96 593 61 92 ,alin08_ali@gva.es ,VILLANUEVA JIMENEZ  ANGEL MANUEL
Juzgado de Instrucción nº 9 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 43 01  96 569 44 13 ,96 593 61 88 ,alin09_ali@gva.es ,CARRASCOSA MEDINA  MARIA LUISA
Juzgado de lo Social nº 1 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 25 95  96 690 27 42 ,96 593 61 55 ,also01_ali@gva.es ,MARIN ROJAS  MARIA DEL PILAR
Juzgado de lo Social nº 2 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 25 26  96 690 25 98 ,96 690 27 57 ,also02_ali@gva.es ,REDONDO LOPEZ  ISABEL
Juzgado de lo Social nº 3 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 05  96 690 27 61 ,96 690 27 67 ,also03_ali@gva.es ,SANCHEZ MORCILLO  ANA ESTHER
Juzgado de lo Social nº 4 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 09  96 690 25 79 ,96 690 25 82 ,also04_ali@gva.es ,BUENDIA JIMENEZ  JOSE ANTONIO
Juzgado de lo Social nº 5 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 27 20  96 690 27 15 ,96 593 60 59 ,also05_ali@gva.es ,BARRIO MARTIN  RICARDO
Juzgado de lo Social nº 6 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 25 59 ,96 690 27 64 ,also06_ali@gva.es ,CORDERO NAHARRO  ANA BELEN
Juzgado de lo Social nº 7 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 26 ,96 690 27 51 ,also07_ali@gva.es ,SANCHEZ PUJALTE  LOURDES
Juzgado de lo Contencioso-Administrativo nº 1 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 25 48  96 690 26 40 ,96 593 61 04 ,alco01_ali@gva.es ,BELLMONT LORENTE  SALVADOR
Juzgado de lo Contencioso-Administrativo nº 2 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 27 10  96 690 27 09 ,96 593 61 69 ,alco02_ali@gva.es ,LATORRE BELTRAN  JAVIER
Juzgado de lo Contencioso-Administrativo nº 3 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 27 00  96 690 27 01 ,96 593 61 71 ,alco03_ali@gva.es ,MAGAN PERALES  JOSE MARIA
Juzgado de lo Contencioso-Administrativo nº 4 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 61  96 690 25 35 ,96 593 61 78 ,alco04_ali@gva.es ,CALVET MIRO  MARIA BEGOÑA
Juzgado de lo Mercantil nº 1 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 26 85  96 690 26 69 ,96 593 60 97 ,alme01_ali@gva.es ,MARTIN MARTIN  GUSTAVO ANDRES
Juzgado de lo Mercantil nº 2 ,C/ Pardo Gimeno  43 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 690 27 54  96 690 25 65 ,96 593 61 67 ,alme02_ali@gva.es ,MARTINEZ AROCA  JUAN IGNACIO
Juzgado de lo Mercantil nº 4 ,C/ Alona  29 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 34 50  96 569 34 54 ,96 569 34 53 ,alme04_ali@gva.es ,FORTEA GORBE  JOSE LUIS
Juzgado de Violencia sobre la Mujer nº 1 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 30 68  96 569 40 51 ,96 593 57 43 ,alvim01_ali@gva.es ,MENDEZ CORTES  CARMEN
Juzgado de Violencia sobre la Mujer nº 2 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 44 18  96 569 44 19 ,96 593 60 26 ,alvim02_ali@gva.es ,IMBRODA MOLINA  MARIA TERESA
Juzgado de Violencia sobre la Mujer nº 3 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 567 95 30 ,96 567 99 14 ,alvim03_ali@gva.es , 
Juzgado de lo Penal nº 1 ,Avda. Aguilera  53 ,03007 ,Alicante/Alacant ,Alicante ,Comunidad Valenciana ,96 569 40 21  96 569 40 20 ,96 593 57 19 ,alpe01_ali@gva.es ,BELMONTE CABRERA  TERESA MARIA
